Drug Name,Manufacturer,Strength,Form,Category,Indication,Side Effects,Price
Glucophage 20g SR-4654,Ferozsons,20g,Capsule,Tablets/Capsules,Improves glycemic control in type 2 diabetes mellitus as an oral hypoglycemic.,"Gastrointestinal upset, metallic taste, or nausea.",1218
Ventolin 5ml SR-4655,Pfizer,5ml,Syrup,Syrups/Suspensions,"Bronchodilator to relieve wheezing, shortness of breath, asthma, and COPD symptoms.","Tremor, mild headache, or rapid heart rate.",1141
Cravit 100mg SR-4656,Novartis,100mg,Tablet,Tablets/Capsules,Broad-spectrum fluoroquinolone antibiotic for severe bacterial infections.,"Dizziness, diarrhea, or tendon discomfort.",1168
Instaflex 5ml SR-4657,Pfizer,5ml,Powder,Powders/Sachets,"Electrolyte replenishment, joint health support, or chronic fatigue.","Bloating, mild abdominal cramps.",1293
Fesovit 250mg SR-4658,Bayer,250mg,Powder,Powders/Sachets,"Iron, folic acid, and vitamin supplement to treat nutritional anemia and weakness.",Dark stools or mild digestive discomfort.,417
Mobic Gel 10s SR-4659,Abbott,10s,Gel,Tubes (Creams/Gels/Ointments),"Topical anti-inflammatory gel for localized relief of muscular pain, sprains, and arthritis.",Mild skin irritation or dry skin.,1089
Cac-1000 250mg SR-4660,GSK,250mg,Suspension,Powders/Sachets,"Calcium, Vitamin C, D3, and B6 supplement for strong bones and energy boost.",Mild stomach upset or bloating.,273
Calpol Syrup 5ml SR-4661,Abbott,5ml,Syrup,Syrups/Suspensions,"Pediatric paracetamol syrup for rapid relief of infant fever, immunization pain, and teething.",Safe under recommended dose.,792
ORS (Nimkol) 50mg SR-4662,Pfizer,50mg,Powder,Powders/Sachets,"Oral rehydration salts to restore electrolytes lost during diarrhea, vomiting, and dehydration.",None under recommended usage.,730
Canesten 30g SR-4663,Abbott,30g,Cream,Tubes (Creams/Gels/Ointments),"Broad-spectrum antifungal cream to treat athlete's foot, ringworm, and skin yeast infections.",Local irritation or mild redness.,1230
Brufen 1g SR-4664,GSK,1g,Capsule,Tablets/Capsules,"Relieves inflammatory pain, swelling, rheumatoid arthritis, dental pain, and muscular pain.","Mild stomach upset, heartburn, or nausea.",392
Co-Amoxiclav 15g SR-4665,Abbott,15g,Suspension,Syrups/Suspensions,"Combined antibiotic for severe respiratory, urinary, and dental bacterial infections.","Diarrhea, nausea, or localized rash.",930
Cranmax 20g SR-4666,GSK,20g,Sachet,Powders/Sachets,Cranberry extract sachet to prevent urinary tract infections (UTIs) and support urinary health.,Mild stomach upset under high dose.,337
Gaviscon 10mg SR-4667,Abbott,10mg,Syrup,Syrups/Suspensions,"Fast-acting relief from gastric acidity, heartburn, and acid indigestion.",Very rare mild bloating or constipation.,1397
Zovirax 50mg SR-4668,Bosch,50mg,Ointment,Tubes (Creams/Gels/Ointments),Antiviral cream for early relief and treatment of herpes labialis (cold sores).,Temporary mild stinging or dry skin.,59
Dalacin-T 15g SR-4669,Pfizer,15g,Ointment,Tubes (Creams/Gels/Ointments),Topical clindamycin solution/gel for inflammatory acne treatment.,Local dryness or mild irritation.,378
Citra-Alka 20s SR-4670,Novartis,20s,Powder,Powders/Sachets,"Systemic alkalizer sachet for symptomatic relief of burning micturition, cystitis, and gout.",Mild bloating or nausea.,574
Velo 30g SR-4671,GSK,30g,Sachet,Powders/Sachets,"Electrolyte replenishment, fiber supplement, or chronic fatigue.","Bloating, mild abdominal cramps.",1264
Betnovate-N 20mg SR-4672,Novartis,20mg,Cream,Tubes (Creams/Gels/Ointments),"Corticosteroid and antibacterial cream for eczema, dermatitis, and skin inflammatory conditions.","Mild burning sensation, localized skin thinning, or redness.",197
Septran 30g SR-4673,PharmEvo,30g,Capsule,Tablets/Capsules,"Sulfonamide antibiotic for chest, urinary tract, and bowel bacterial infections.","Nausea, skin rashes, or loss of appetite.",479
Selsun Blue 20s SR-4674,Ferozsons,20s,Cream,Tubes (Creams/Gels/Ointments),Antidandruff shampoo and topical antifungal for seborrheic dermatitis and tinea versicolor.,Local skin irritation or hair dryness.,1330
Gaviscon 500mg SR-4675,Getz Pharma,500mg,Syrup,Syrups/Suspensions,"Fast-acting relief from gastric acidity, heartburn, and acid indigestion.",Very rare mild bloating or constipation.,1271
Softin 100mg SR-4676,Searle,100mg,Capsule,Tablets/Capsules,"Provides relief from symptoms of allergic rhinitis, sneezing, watery eyes, and hives.","Drowsiness (rare), dry mouth, or headache.",1043
Hydrocortisone 20s SR-4677,Getz Pharma,20s,Gel,Tubes (Creams/Gels/Ointments),"Mild corticosteroid cream for localized allergic reactions, insect bites, and eczema.",Mild localized burning or redness.,1306
Hydrozole 15g SR-4678,Hilton,15g,Cream,Tubes (Creams/Gels/Ointments),Dual action antifungal and anti-inflammatory cream for fungal skin infections and eczema.,Mild localized burning or irritation.,1159
Sancos 10mg SR-4679,Bayer,10mg,Syrup,Syrups/Suspensions,"Cough suppressant syrup to control dry, tickly, non-productive coughs.",Mild drowsiness or dry throat.,1046
Pulmonol 250mg/5ml SR-4680,Pfizer,250mg/5ml,Suspension,Syrups/Suspensions,Cough expectorant to clear lung congestion and ease throat irritation.,Mild stomach upset or drowsiness.,952
Cranmax 250mg/5ml SR-4681,Abbott,250mg/5ml,Powder,Powders/Sachets,Cranberry extract sachet to prevent urinary tract infections (UTIs) and support urinary health.,Mild stomach upset under high dose.,989
Canesten 1g SR-4682,Sami,1g,Cream,Tubes (Creams/Gels/Ointments),"Broad-spectrum antifungal cream to treat athlete's foot, ringworm, and skin yeast infections.",Local irritation or mild redness.,1372
Skinoren 500mg SR-4683,Barrett Hodgson,500mg,Gel,Tubes (Creams/Gels/Ointments),"Azelaic acid cream for acne vulgaris, papules, pustules, and skin hyperpigmentation.","Mild local burning, skin peeling, or itchiness.",669
Brufen Syrup 100mg SR-4684,Martin Dow,100mg,Suspension,Syrups/Suspensions,Pediatric antipyretic and anti-inflammatory for fever and child teething pain.,Mild stomach upset or nausea.,336
Bonjela 10mg SR-4685,Bayer,10mg,Sachet,Powders/Sachets,"Teething gel and ulcer powder for fast relief of mouth pain, ulcers, and sore gums.",Mild transient stinging.,879
Bonjela 100mg SR-4686,Getz Pharma,100mg,Powder,Powders/Sachets,"Teething gel and ulcer powder for fast relief of mouth pain, ulcers, and sore gums.",Mild transient stinging.,363
Corex 250mg/5ml SR-4687,Ferozsons,250mg/5ml,Syrup,Syrups/Suspensions,Expectorant and nasal decongestant for chesty coughs and sinus congestion.,Mild drowsiness or dry mouth.,558
Tusdec 10mg SR-4688,Searle,10mg,Syrup,Syrups/Suspensions,"Dry cough relief, pediatric fever control, or acid reflux relief.","Drowsiness, dry mouth, mild diarrhea.",296
Polyfax 10s SR-4689,Hilton,10s,Cream,Tubes (Creams/Gels/Ointments),Dual antibiotic skin ointment to prevent and treat bacterial skin and wound infections.,Rare allergic skin reaction.,183
Cac-1000 250mg SR-4690,Pfizer,250mg,Syrup,Powders/Sachets,"Calcium, Vitamin C, D3, and B6 supplement for strong bones and energy boost.",Mild stomach upset or bloating.,228
Arinac Forte 100mg SR-4691,Bayer,100mg,Tablet,Tablets/Capsules,"Relieves nasal congestion, sinus pressure, fever, headache, and allergic rhinitis.","Mild drowsiness, dry mouth, or increased heart rate.",647
Septran 500mg/5ml SR-4692,Novartis,500mg/5ml,Capsule,Tablets/Capsules,"Sulfonamide antibiotic for chest, urinary tract, and bowel bacterial infections.","Nausea, skin rashes, or loss of appetite.",154
Dalacin-T 1g SR-4693,Sanofi,1g,Cream,Tubes (Creams/Gels/Ointments),Topical clindamycin solution/gel for inflammatory acne treatment.,Local dryness or mild irritation.,716
Smecta 20mg SR-4694,Martin Dow,20mg,Sachet,Powders/Sachets,Natural clay absorbent sachet for symptomatic relief of acute diarrhea in adults and children.,Constipation (rare) or mild bloating.,578
Polyfax 20s SR-4695,Bayer,20s,Ointment,Tubes (Creams/Gels/Ointments),Dual antibiotic skin ointment to prevent and treat bacterial skin and wound infections.,Rare allergic skin reaction.,211
Zovirax 5ml SR-4696,Pfizer,5ml,Ointment,Tubes (Creams/Gels/Ointments),Antiviral cream for early relief and treatment of herpes labialis (cold sores).,Temporary mild stinging or dry skin.,1160
Hydrozole 20g SR-4697,Sami,20g,Ointment,Tubes (Creams/Gels/Ointments),Dual action antifungal and anti-inflammatory cream for fungal skin infections and eczema.,Mild localized burning or irritation.,649
Selsun Blue 5ml SR-4698,PharmEvo,5ml,Gel,Tubes (Creams/Gels/Ointments),Antidandruff shampoo and topical antifungal for seborrheic dermatitis and tinea versicolor.,Local skin irritation or hair dryness.,446
Dalacin-T 50mg SR-4699,Bayer,50mg,Ointment,Tubes (Creams/Gels/Ointments),Topical clindamycin solution/gel for inflammatory acne treatment.,Local dryness or mild irritation.,239
Bonjela 500mg/5ml SR-4700,Searle,500mg/5ml,Powder,Powders/Sachets,"Teething gel and ulcer powder for fast relief of mouth pain, ulcers, and sore gums.",Mild transient stinging.,711
Betnovate-N 10s SR-4701,Getz Pharma,10s,Ointment,Tubes (Creams/Gels/Ointments),"Corticosteroid and antibacterial cream for eczema, dermatitis, and skin inflammatory conditions.","Mild burning sensation, localized skin thinning, or redness.",1171
Gravinate 5ml SR-4702,Getz Pharma,5ml,Syrup,Syrups/Suspensions,"Prevents and treats nausea, vomiting, motion sickness, and vertigo.","Drowsiness, dry mouth, or blurred vision.",213
Softin 30g SR-4703,PharmEvo,30g,Capsule,Tablets/Capsules,"Provides relief from symptoms of allergic rhinitis, sneezing, watery eyes, and hives.","Drowsiness (rare), dry mouth, or headache.",368
Voltral Gel 100mg SR-4704,Searle,100mg,Cream,Tubes (Creams/Gels/Ointments),"Topical diclofenac gel for instant relief of joint pain, backache, sprains, and osteoarthritis.",Safe locally. Rare skin rash or redness.,169
Selsun Blue 20g SR-4705,Getz Pharma,20g,Cream,Tubes (Creams/Gels/Ointments),Antidandruff shampoo and topical antifungal for seborrheic dermatitis and tinea versicolor.,Local skin irritation or hair dryness.,641
Arinac Forte 30g SR-4706,Sami,30g,Tablet,Tablets/Capsules,"Relieves nasal congestion, sinus pressure, fever, headache, and allergic rhinitis.","Mild drowsiness, dry mouth, or increased heart rate.",474
Calpol 250mg SR-4707,Abbott,250mg,Capsule,Tablets/Capsules,"Relieves fever, teething pain, and mild pain in pediatric patients.",Safe under standard dose. Discontinue if allergic reaction occurs.,732
Polyfax 250mg/5ml SR-4708,Getz Pharma,250mg/5ml,Cream,Tubes (Creams/Gels/Ointments),Dual antibiotic skin ointment to prevent and treat bacterial skin and wound infections.,Rare allergic skin reaction.,871
Fucidin 30s SR-4709,Barrett Hodgson,30s,Cream,Tubes (Creams/Gels/Ointments),"Topical antibiotic cream for bacterial skin infections, impetigo, and infected eczema.",Rare local hypersensitivity reaction.,664
Canesten 50mg SR-4710,Getz Pharma,50mg,Ointment,Tubes (Creams/Gels/Ointments),"Broad-spectrum antifungal cream to treat athlete's foot, ringworm, and skin yeast infections.",Local irritation or mild redness.,431
Cranmax 500mg SR-4711,Sanofi,500mg,Sachet,Powders/Sachets,Cranberry extract sachet to prevent urinary tract infections (UTIs) and support urinary health.,Mild stomach upset under high dose.,916
Citra-Alka 30g SR-4712,Sami,30g,Sachet,Powders/Sachets,"Systemic alkalizer sachet for symptomatic relief of burning micturition, cystitis, and gout.",Mild bloating or nausea.,646
Calpol Syrup 100mg SR-4713,GSK,100mg,Suspension,Syrups/Suspensions,"Pediatric paracetamol syrup for rapid relief of infant fever, immunization pain, and teething.",Safe under recommended dose.,1218
Lowplat 1g SR-4714,PharmEvo,1g,Tablet,Tablets/Capsules,"Prevents blood clotting, reduces risk of heart attack, stroke, and cardiovascular events.","Increased bruising, nosebleeds, or minor bleeding.",699
Zovirax 15g SR-4715,Sanofi,15g,Ointment,Tubes (Creams/Gels/Ointments),Antiviral cream for early relief and treatment of herpes labialis (cold sores).,Temporary mild stinging or dry skin.,853
Glucophage 50mg SR-4716,Sami,50mg,Tablet,Tablets/Capsules,Improves glycemic control in type 2 diabetes mellitus as an oral hypoglycemic.,"Gastrointestinal upset, metallic taste, or nausea.",126
Tusdec 30g SR-4717,GSK,30g,Suspension,Syrups/Suspensions,"Dry cough relief, pediatric fever control, or acid reflux relief.","Drowsiness, dry mouth, mild diarrhea.",1446
Fesovit 20s SR-4718,Bayer,20s,Sachet,Powders/Sachets,"Iron, folic acid, and vitamin supplement to treat nutritional anemia and weakness.",Dark stools or mild digestive discomfort.,1235
Hydryllin 1g SR-4719,Sami,1g,Suspension,Syrups/Suspensions,"Expectorant cough syrup for relief of persistent cough, chest congestion, and bronchitis.","Drowsiness, dry mouth, or mild dizziness.",785
Lipiget 50mg SR-4720,Pfizer,50mg,Tablet,Tablets/Capsules,Lowers high cholesterol levels and prevents cardiovascular complications.,"Muscle pain, headache, or mild digestive issues.",1413
Mobic Gel 250mg/5ml SR-4721,Abbott,250mg/5ml,Cream,Tubes (Creams/Gels/Ointments),"Topical anti-inflammatory gel for localized relief of muscular pain, sprains, and arthritis.",Mild skin irritation or dry skin.,1071
Velo 20mg SR-4722,Getz Pharma,20mg,Powder,Powders/Sachets,"Electrolyte replenishment, fiber supplement, or chronic fatigue.","Bloating, mild abdominal cramps.",1052
Acetone 20mg SR-4723,Bosch,20mg,Syrup,Syrups/Suspensions,Fever reducer and analgesic for mild-to-moderate physical discomforts.,Safe under recommended dose.,1010
Cac-1000 500mg SR-4724,Bayer,500mg,Suspension,Powders/Sachets,"Calcium, Vitamin C, D3, and B6 supplement for strong bones and energy boost.",Mild stomach upset or bloating.,425
Evion 100mg SR-4725,Getz Pharma,100mg,Capsule,Tablets/Capsules,"Vitamin E supplement for healthy muscle, skin, nerve tissue, and antioxidant protection.",None under standard dosage.,1389
Bonjela 40mg SR-4726,Sanofi,40mg,Sachet,Powders/Sachets,"Teething gel and ulcer powder for fast relief of mouth pain, ulcers, and sore gums.",Mild transient stinging.,920
Hydrocortisone 1g SR-4727,GSK,1g,Cream,Tubes (Creams/Gels/Ointments),"Mild corticosteroid cream for localized allergic reactions, insect bites, and eczema.",Mild localized burning or redness.,253
Hydrocortisone 15g SR-4728,Hilton,15g,Ointment,Tubes (Creams/Gels/Ointments),"Mild corticosteroid cream for localized allergic reactions, insect bites, and eczema.",Mild localized burning or redness.,1059
Dalacin-T 50mg SR-4729,Barrett Hodgson,50mg,Cream,Tubes (Creams/Gels/Ointments),Topical clindamycin solution/gel for inflammatory acne treatment.,Local dryness or mild irritation.,319
Selsun Blue 10mg SR-4730,Novartis,10mg,Cream,Tubes (Creams/Gels/Ointments),Antidandruff shampoo and topical antifungal for seborrheic dermatitis and tinea versicolor.,Local skin irritation or hair dryness.,955
Calpol Syrup 15g SR-4731,Novartis,15g,Syrup,Syrups/Suspensions,"Pediatric paracetamol syrup for rapid relief of infant fever, immunization pain, and teething.",Safe under recommended dose.,1279
Lipiget 5ml SR-4732,Barrett Hodgson,5ml,Tablet,Tablets/Capsules,Lowers high cholesterol levels and prevents cardiovascular complications.,"Muscle pain, headache, or mild digestive issues.",1427
Dalacin-T 20mg SR-4733,Bayer,20mg,Ointment,Tubes (Creams/Gels/Ointments),Topical clindamycin solution/gel for inflammatory acne treatment.,Local dryness or mild irritation.,567
Evion 20g SR-4734,Novartis,20g,Capsule,Tablets/Capsules,"Vitamin E supplement for healthy muscle, skin, nerve tissue, and antioxidant protection.",None under standard dosage.,756
Cravit 5ml SR-4735,Sanofi,5ml,Capsule,Tablets/Capsules,Broad-spectrum fluoroquinolone antibiotic for severe bacterial infections.,"Dizziness, diarrhea, or tendon discomfort.",110
Glucophage 20g SR-4736,Bosch,20g,Tablet,Tablets/Capsules,Improves glycemic control in type 2 diabetes mellitus as an oral hypoglycemic.,"Gastrointestinal upset, metallic taste, or nausea.",682
Cranmax 50mg SR-4737,Martin Dow,50mg,Sachet,Powders/Sachets,Cranberry extract sachet to prevent urinary tract infections (UTIs) and support urinary health.,Mild stomach upset under high dose.,1063
Mobic Gel 500mg/5ml SR-4738,Bayer,500mg/5ml,Gel,Tubes (Creams/Gels/Ointments),"Topical anti-inflammatory gel for localized relief of muscular pain, sprains, and arthritis.",Mild skin irritation or dry skin.,219
Hydrozole 20mg SR-4739,Searle,20mg,Ointment,Tubes (Creams/Gels/Ointments),Dual action antifungal and anti-inflammatory cream for fungal skin infections and eczema.,Mild localized burning or irritation.,703
Somogel 100mg SR-4740,Sami,100mg,Ointment,Tubes (Creams/Gels/Ointments),"Antiseptic and pain relieving gel for mouth ulcers, teething pain, and gum inflammation.",Transient mild stinging or tingling sensation.,261
Brufen 100mg SR-4741,Searle,100mg,Capsule,Tablets/Capsules,"Relieves inflammatory pain, swelling, rheumatoid arthritis, dental pain, and muscular pain.","Mild stomach upset, heartburn, or nausea.",1288
Dermovate 30g SR-4742,Getz Pharma,30g,Gel,Tubes (Creams/Gels/Ointments),"Highly potent corticosteroid for severe eczema, psoriasis, and resistant dermatoses.","Local burning, skin thinning, or mild redness.",591
Hydrocortisone 15g SR-4743,Barrett Hodgson,15g,Cream,Tubes (Creams/Gels/Ointments),"Mild corticosteroid cream for localized allergic reactions, insect bites, and eczema.",Mild localized burning or redness.,256
Azomax 20s SR-4744,Bayer,20s,Tablet,Tablets/Capsules,"Treats bacterial infections of respiratory tract, ENT, skin, and urinary tract.","Nausea, diarrhea, abdominal discomfort, or skin rash.",1295
Instaflex 40mg SR-4745,Searle,40mg,Powder,Powders/Sachets,"Electrolyte replenishment, joint health support, or chronic fatigue.","Bloating, mild abdominal cramps.",1418
Brufen Syrup 20s SR-4746,Abbott,20s,Syrup,Syrups/Suspensions,Pediatric antipyretic and anti-inflammatory for fever and child teething pain.,Mild stomach upset or nausea.,1249
ORS (Nimkol) 250mg SR-4747,Abbott,250mg,Powder,Powders/Sachets,"Oral rehydration salts to restore electrolytes lost during diarrhea, vomiting, and dehydration.",None under recommended usage.,219
Softin 5ml SR-4748,Sami,5ml,Tablet,Tablets/Capsules,"Provides relief from symptoms of allergic rhinitis, sneezing, watery eyes, and hives.","Drowsiness (rare), dry mouth, or headache.",942
Acetone 15g SR-4749,Bosch,15g,Suspension,Syrups/Suspensions,Fever reducer and analgesic for mild-to-moderate physical discomforts.,Safe under recommended dose.,331
Amoxil 30g SR-4750,Sanofi,30g,Capsule,Tablets/Capsules,Broad-spectrum penicillin antibiotic for systemic bacterial infections.,"Nausea, diarrhea, abdominal discomfort, or skin rash.",1037
Fucidin 50mg SR-4751,Novartis,50mg,Ointment,Tubes (Creams/Gels/Ointments),"Topical antibiotic cream for bacterial skin infections, impetigo, and infected eczema.",Rare local hypersensitivity reaction.,715
Polyfax 10s SR-4752,Sanofi,10s,Cream,Tubes (Creams/Gels/Ointments),Dual antibiotic skin ointment to prevent and treat bacterial skin and wound infections.,Rare allergic skin reaction.,613
Fucidin 5ml SR-4753,Abbott,5ml,Cream,Tubes (Creams/Gels/Ointments),"Topical antibiotic cream for bacterial skin infections, impetigo, and infected eczema.",Rare local hypersensitivity reaction.,896
Septran 5ml SR-4754,Novartis,5ml,Capsule,Tablets/Capsules,"Sulfonamide antibiotic for chest, urinary tract, and bowel bacterial infections.","Nausea, skin rashes, or loss of appetite.",650
Fesovit 40mg SR-4755,Novartis,40mg,Sachet,Powders/Sachets,"Iron, folic acid, and vitamin supplement to treat nutritional anemia and weakness.",Dark stools or mild digestive discomfort.,959
Mucaine 250mg/5ml SR-4756,Searle,250mg/5ml,Syrup,Syrups/Suspensions,"Antacid gel for relief of stomach acidity, heartburn, and peptic ulcer pain.","Constipation, diarrhea, or dry mouth.",1016
Sancos 20g SR-4757,Hilton,20g,Suspension,Syrups/Suspensions,"Cough suppressant syrup to control dry, tickly, non-productive coughs.",Mild drowsiness or dry throat.,142
Co-Amoxiclav 500mg SR-4758,Sami,500mg,Suspension,Syrups/Suspensions,"Combined antibiotic for severe respiratory, urinary, and dental bacterial infections.","Diarrhea, nausea, or localized rash.",1025
Surbex-Z 500mg SR-4759,Novartis,500mg,Capsule,Tablets/Capsules,Multivitamin and mineral supplement to correct nutritional deficiencies and boost immunity.,None under recommended daily allowance.,1134
Tusdec 250mg/5ml SR-4760,Sanofi,250mg/5ml,Syrup,Syrups/Suspensions,"Dry cough relief, pediatric fever control, or acid reflux relief.","Drowsiness, dry mouth, mild diarrhea.",106
Instaflex 10s SR-4761,Sanofi,10s,Powder,Powders/Sachets,"Electrolyte replenishment, joint health support, or chronic fatigue.","Bloating, mild abdominal cramps.",611
Skinoren 20g SR-4762,Sami,20g,Gel,Tubes (Creams/Gels/Ointments),"Azelaic acid cream for acne vulgaris, papules, pustules, and skin hyperpigmentation.","Mild local burning, skin peeling, or itchiness.",182
Cranmax 20s SR-4763,Sanofi,20s,Powder,Powders/Sachets,Cranberry extract sachet to prevent urinary tract infections (UTIs) and support urinary health.,Mild stomach upset under high dose.,805
Acefyl 50mg SR-4764,Martin Dow,50mg,Suspension,Syrups/Suspensions,Cough expectorant and bronchodilator for relieving chest congestion and asthma.,Mild restlessness or nausea.,759
Panadol 30g SR-4765,Hilton,30g,Capsule,Tablets/Capsules,"Used for rapid relief of fever, headache, migraine, toothache, and body pain.",Safe under recommended dose. Rare skin rash or liver issue if overdosed.,1021
Cranmax 10mg SR-4766,GSK,10mg,Sachet,Powders/Sachets,Cranberry extract sachet to prevent urinary tract infections (UTIs) and support urinary health.,Mild stomach upset under high dose.,156
Citra-Alka 250mg SR-4767,Martin Dow,250mg,Powder,Powders/Sachets,"Systemic alkalizer sachet for symptomatic relief of burning micturition, cystitis, and gout.",Mild bloating or nausea.,1260
Ispaghol 30g SR-4768,Martin Dow,30g,Powder,Powders/Sachets,"Natural psyllium husk fiber supplement for chronic constipation, bowel regularity, and cholesterol.","Mild gas, bloating, or stomach cramps.",1034
Surbex-Z 250mg SR-4769,Bosch,250mg,Capsule,Tablets/Capsules,Multivitamin and mineral supplement to correct nutritional deficiencies and boost immunity.,None under recommended daily allowance.,1382
Mobic Gel 100mg SR-4770,Getz Pharma,100mg,Gel,Tubes (Creams/Gels/Ointments),"Topical anti-inflammatory gel for localized relief of muscular pain, sprains, and arthritis.",Mild skin irritation or dry skin.,1265
Instaflex 15g SR-4771,Hilton,15g,Powder,Powders/Sachets,"Electrolyte replenishment, joint health support, or chronic fatigue.","Bloating, mild abdominal cramps.",458
Dalacin-T 10s SR-4772,PharmEvo,10s,Ointment,Tubes (Creams/Gels/Ointments),Topical clindamycin solution/gel for inflammatory acne treatment.,Local dryness or mild irritation.,228
Zovirax 500mg/5ml SR-4773,Searle,500mg/5ml,Ointment,Tubes (Creams/Gels/Ointments),Antiviral cream for early relief and treatment of herpes labialis (cold sores).,Temporary mild stinging or dry skin.,520
Canesten 500mg/5ml SR-4774,Abbott,500mg/5ml,Ointment,Tubes (Creams/Gels/Ointments),"Broad-spectrum antifungal cream to treat athlete's foot, ringworm, and skin yeast infections.",Local irritation or mild redness.,222
Mobic Gel 10mg SR-4775,Ferozsons,10mg,Ointment,Tubes (Creams/Gels/Ointments),"Topical anti-inflammatory gel for localized relief of muscular pain, sprains, and arthritis.",Mild skin irritation or dry skin.,761
Acefyl 20g SR-4776,Martin Dow,20g,Syrup,Syrups/Suspensions,Cough expectorant and bronchodilator for relieving chest congestion and asthma.,Mild restlessness or nausea.,402
Dermovate 10s SR-4777,Novartis,10s,Cream,Tubes (Creams/Gels/Ointments),"Highly potent corticosteroid for severe eczema, psoriasis, and resistant dermatoses.","Local burning, skin thinning, or mild redness.",726
Brufen 100mg SR-4778,Martin Dow,100mg,Tablet,Tablets/Capsules,"Relieves inflammatory pain, swelling, rheumatoid arthritis, dental pain, and muscular pain.","Mild stomach upset, heartburn, or nausea.",385
Cravit 20s SR-4779,Ferozsons,20s,Capsule,Tablets/Capsules,Broad-spectrum fluoroquinolone antibiotic for severe bacterial infections.,"Dizziness, diarrhea, or tendon discomfort.",1094
Cravit 20s SR-4780,Sami,20s,Capsule,Tablets/Capsules,Broad-spectrum fluoroquinolone antibiotic for severe bacterial infections.,"Dizziness, diarrhea, or tendon discomfort.",75
Skinoren 30s SR-4781,Abbott,30s,Gel,Tubes (Creams/Gels/Ointments),"Azelaic acid cream for acne vulgaris, papules, pustules, and skin hyperpigmentation.","Mild local burning, skin peeling, or itchiness.",545
ORS (Nimkol) 1g SR-4782,Hilton,1g,Powder,Powders/Sachets,"Oral rehydration salts to restore electrolytes lost during diarrhea, vomiting, and dehydration.",None under recommended usage.,817
Ispaghol 20mg SR-4783,Searle,20mg,Sachet,Powders/Sachets,"Natural psyllium husk fiber supplement for chronic constipation, bowel regularity, and cholesterol.","Mild gas, bloating, or stomach cramps.",1131
Fucidin 1g SR-4784,Abbott,1g,Gel,Tubes (Creams/Gels/Ointments),"Topical antibiotic cream for bacterial skin infections, impetigo, and infected eczema.",Rare local hypersensitivity reaction.,816
Mucaine 50mg SR-4785,Bayer,50mg,Suspension,Syrups/Suspensions,"Antacid gel for relief of stomach acidity, heartburn, and peptic ulcer pain.","Constipation, diarrhea, or dry mouth.",1290
Evion 30s SR-4786,Bosch,30s,Capsule,Tablets/Capsules,"Vitamin E supplement for healthy muscle, skin, nerve tissue, and antioxidant protection.",None under standard dosage.,1387
Cac-1000 50s SR-4787,Martin Dow,50s,Syrup,Powders/Sachets,"Calcium, Vitamin C, D3, and B6 supplement for strong bones and energy boost.",Mild stomach upset or bloating.,652
Instaflex 500mg/5ml SR-4788,Bayer,500mg/5ml,Powder,Powders/Sachets,"Electrolyte replenishment, joint health support, or chronic fatigue.","Bloating, mild abdominal cramps.",268
Betnovate-N 50s SR-4789,Novartis,50s,Ointment,Tubes (Creams/Gels/Ointments),"Corticosteroid and antibacterial cream for eczema, dermatitis, and skin inflammatory conditions.","Mild burning sensation, localized skin thinning, or redness.",374
Hydrozole 10mg SR-4790,Bayer,10mg,Ointment,Tubes (Creams/Gels/Ointments),Dual action antifungal and anti-inflammatory cream for fungal skin infections and eczema.,Mild localized burning or irritation.,433
Xanax 5ml SR-4791,Abbott,5ml,Tablet,Tablets/Capsules,"Provides short-term relief of severe anxiety, panic disorders, and tension.","Drowsiness, lightheadedness, or dry mouth.",1065
Voltral Gel 50mg SR-4792,GSK,50mg,Gel,Tubes (Creams/Gels/Ointments),"Topical diclofenac gel for instant relief of joint pain, backache, sprains, and osteoarthritis.",Safe locally. Rare skin rash or redness.,927
Acefyl 15g SR-4793,Getz Pharma,15g,Suspension,Syrups/Suspensions,Cough expectorant and bronchodilator for relieving chest congestion and asthma.,Mild restlessness or nausea.,1118
Hydrozole 20mg SR-4794,PharmEvo,20mg,Ointment,Tubes (Creams/Gels/Ointments),Dual action antifungal and anti-inflammatory cream for fungal skin infections and eczema.,Mild localized burning or irritation.,176
Betnovate-N 5ml SR-4795,PharmEvo,5ml,Ointment,Tubes (Creams/Gels/Ointments),"Corticosteroid and antibacterial cream for eczema, dermatitis, and skin inflammatory conditions.","Mild burning sensation, localized skin thinning, or redness.",122
Dalacin-T 40mg SR-4796,Sami,40mg,Gel,Tubes (Creams/Gels/Ointments),Topical clindamycin solution/gel for inflammatory acne treatment.,Local dryness or mild irritation.,315
Gravinate 250mg SR-4797,Martin Dow,250mg,Syrup,Syrups/Suspensions,"Prevents and treats nausea, vomiting, motion sickness, and vertigo.","Drowsiness, dry mouth, or blurred vision.",268
Corex 500mg/5ml SR-4798,Hilton,500mg/5ml,Suspension,Syrups/Suspensions,Expectorant and nasal decongestant for chesty coughs and sinus congestion.,Mild drowsiness or dry mouth.,813
Acefyl 15g SR-4799,Novartis,15g,Suspension,Syrups/Suspensions,Cough expectorant and bronchodilator for relieving chest congestion and asthma.,Mild restlessness or nausea.,1491
Tusdec 1g SR-4800,Bosch,1g,Syrup,Syrups/Suspensions,"Dry cough relief, pediatric fever control, or acid reflux relief.","Drowsiness, dry mouth, mild diarrhea.",993
